"","keyid","title","start","end","language","country","duration","tooltip","l_color"
"30","AKeestiettevotja","Üks Eesti Ettevõtja : [ajakiri]","2018-01-01","2021-03-01","Estonian","Estonia",3.16438356164384,"Üks Eesti Ettevõtja : [ajakiri]<br>From <b>2018-01-01</b> to <b>2021-03-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"31","AKeestikasulikmudel","Eesti Kasuliku Mudeli Leht : Patendiameti ametlik väljaanne","2017-01-01","2022-02-01","Estonian","Estonia",5.08767123287671,"Eesti Kasuliku Mudeli Leht : Patendiameti ametlik väljaanne<br>From <b>2017-01-01</b> to <b>2022-02-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"32","AKeestikaubamargi","Eesti Kaubamärgileht : Patendiameti ametlik väljaanne","2017-01-01","2022-02-01","Estonian","Estonia",5.08767123287671,"Eesti Kaubamärgileht : Patendiameti ametlik väljaanne<br>From <b>2017-01-01</b> to <b>2022-02-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"33","AKeestiloodus","Eesti Loodus : populaarteaduslik ajakiri : ilmunud 1933. aastast","2017-01-01","2022-01-01","Estonian","Estonia",5.0027397260274,"Eesti Loodus : populaarteaduslik ajakiri : ilmunud 1933. aastast<br>From <b>2017-01-01</b> to <b>2022-01-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"34","AKeestimets","Eesti Mets : metsandusajakiri","2017-03-01","2021-09-01","Estonian","Estonia",4.50684931506849,"Eesti Mets : metsandusajakiri<br>From <b>2017-03-01</b> to <b>2021-09-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"35","AKeestiode","Eesti Õde : Eesti Õdede Liidu ametlik väljaanne","2017-05-01","2021-07-01","Estonian","Estonia",4.16986301369863,"Eesti Õde : Eesti Õdede Liidu ametlik väljaanne<br>From <b>2017-05-01</b> to <b>2021-07-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"36","AKeestiskaut","Eesti Skaut : Eesti Skautide Ühingu ajakiri","2017-04-01","2021-04-01","Estonian","Estonia",4.0027397260274,"Eesti Skaut : Eesti Skautide Ühingu ajakiri<br>From <b>2017-04-01</b> to <b>2021-04-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"37","AKeestistatistika","Eesti Statistika Kvartalikiri = Quarterly Bulletin of Statistics Estonia","2017-01-01","2017-10-01","Estonian","Estonia",0.747945205479452,"Eesti Statistika Kvartalikiri = Quarterly Bulletin of Statistics Estonia<br>From <b>2017-01-01</b> to <b>2017-10-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"38","AKeestitoostusdisaini","Eesti Tööstusdisainilahenduse Leht : Patendiameti ametlik väljaanne","2017-01-01","2022-03-01","Estonian","Estonia",5.16438356164384,"Eesti Tööstusdisainilahenduse Leht : Patendiameti ametlik väljaanne<br>From <b>2017-01-01</b> to <b>2022-03-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"39","AKeestpatendil","Eesti Patendileht : Patendiameti ametlik väljaanne","2017-01-01","2022-02-01","Estonian","Estonia",5.08767123287671,"Eesti Patendileht : Patendiameti ametlik väljaanne<br>From <b>2017-01-01</b> to <b>2022-02-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"40","AKehitusest","EhitusEST : projekteeri ja ehita","2017-04-01","2021-10-01","Estonian","Estonia",4.5041095890411,"EhitusEST : projekteeri ja ehita<br>From <b>2017-04-01</b> to <b>2021-10-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"41","AKejec","Estonian Journal of Earth Sciences : an international open access journal","2017-03-20","2021-12-01","English","Estonia",4.7041095890411,"Estonian Journal of Earth Sciences : an international open access journal<br>From <b>2017-03-20</b> to <b>2021-12-01</b><br>issued in <b>Estonia</b> in <b>English</b> language</br>","#78B7C5"
"42","AKeludementsusega","Elu Dementsusega","2020-03-01","2021-03-01","Estonian","Estonia",1,"Elu Dementsusega<br>From <b>2020-03-01</b> to <b>2021-03-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"43","aken","Aken : värsket õhku noorsootöösse : Eesti noorsootöö häälekandja","2012-09-01","2012-12-01","Estonian","Estonia",0.249315068493151,"Aken : värsket õhku noorsootöösse : Eesti noorsootöö häälekandja<br>From <b>2012-09-01</b> to <b>2012-12-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"44","AKeurekahealth","Eureka: Health Sciences : scientific journal","2017-01-01","2022-01-01","English","Estonia",5.0027397260274,"Eureka: Health Sciences : scientific journal<br>From <b>2017-01-01</b> to <b>2022-01-01</b><br>issued in <b>Estonia</b> in <b>English</b> language</br>","#78B7C5"
"45","AKeurekalife","Eureka: Life Sciences : scientific journal","2016-03-01","2021-11-01","English","Estonia",5.67397260273973,"Eureka: Life Sciences : scientific journal<br>From <b>2016-03-01</b> to <b>2021-11-01</b><br>issued in <b>Estonia</b> in <b>English</b> language</br>","#78B7C5"
"46","AKeurekaphysics","Eureka: Physics and Engineering : scientific journal","2017-01-01","2022-01-01","English","Estonia",5.0027397260274,"Eureka: Physics and Engineering : scientific journal<br>From <b>2017-01-01</b> to <b>2022-01-01</b><br>issued in <b>Estonia</b> in <b>English</b> language</br>","#78B7C5"
"47","AKeurekasocial","Eureka: Social and Humanities : scientific journal","2017-01-01","2022-01-01","English","Estonia",5.0027397260274,"Eureka: Social and Humanities : scientific journal<br>From <b>2017-01-01</b> to <b>2022-01-01</b><br>issued in <b>Estonia</b> in <b>English</b> language</br>","#78B7C5"
"48","AKevsteataja","EVS Teataja","2017-01-01","2022-03-01","Estonian","Estonia",5.16438356164384,"EVS Teataja<br>From <b>2017-01-01</b> to <b>2022-03-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"49","AKfocus","Focus : the Swedish Chamber of Commerce in Estoniai","2017-03-01","2021-05-01","English","Estonia",4.16986301369863,"Focus : the Swedish Chamber of Commerce in Estoniai<br>From <b>2017-03-01</b> to <b>2021-05-01</b><br>issued in <b>Estonia</b> in <b>English</b> language</br>","#78B7C5"
"50","AKfoorum","Foorum : juhtimisajakiri","2018-05-01","2021-10-01","Estonian","Estonia",3.42191780821918,"Foorum : juhtimisajakiri<br>From <b>2018-05-01</b> to <b>2021-10-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"51","AKgoreisi","Go Reisiajakiri","2017-02-01","2021-12-01","Estonian","Estonia",4.83287671232877,"Go Reisiajakiri<br>From <b>2017-02-01</b> to <b>2021-12-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"52","AKgorizonty","Горизонты Эстонии : человек, природа, наука","2017-01-01","2021-01-01","Russian","Estonia",4.0027397260274,"Горизонты Эстонии : человек, природа, наука<br>From <b>2017-01-01</b> to <b>2021-01-01</b><br>issued in <b>Estonia</b> in <b>Russian</b> language</br>","#C7B19C"
"53","AKhealaps","Hea Laps : koolilaste ajakiri","2017-01-01","2021-12-01","Estonian","Estonia",4.91780821917808,"Hea Laps : koolilaste ajakiri<br>From <b>2017-01-01</b> to <b>2021-12-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"54","AKhooaeg","Hooaeg : mood, lõhnad, asjad, maitsed, inimesed sinu ümber : ajakiri Kaubamaja püsiklientidele","2017-03-01","2021-12-11","Estonian","Estonia",4.78356164383562,"Hooaeg : mood, lõhnad, asjad, maitsed, inimesed sinu ümber : ajakiri Kaubamaja püsiklientidele<br>From <b>2017-03-01</b> to <b>2021-12-11</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"55","AKhorisont","Horisont","2017-01-01","2021-03-01","Estonian","Estonia",4.16438356164384,"Horisont<br>From <b>2017-01-01</b> to <b>2021-03-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"56","AKhyydjahaal","Hüüdja Hääl : Jumala sõna kuukiri","2017-01-01","2022-02-01","Estonian","Estonia",5.08767123287671,"Hüüdja Hääl : Jumala sõna kuukiri<br>From <b>2017-01-01</b> to <b>2022-02-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
