"","keyid","year","language","country","n"
"4001","eestinaeste",1909,"Estonian","Estonia",12
"4002","eestinaeste",1910,"Estonian","Estonia",12
"4003","eestipollomees",1869,"Estonian","Estonia",12
"4004","eestipollomees",1870,"Estonian","Estonia",12
"4005","eestipollomees",1871,"Estonian","Estonia",12
"4006","eestipollomees",1872,"Estonian","Estonia",12
"4007","eestipollomees",1874,"Estonian","Estonia",12
"4008","eestipollomees",1875,"Estonian","Estonia",12
"4009","eestipollomees",1877,"Estonian","Estonia",12
"4010","eestipollumeheerali",1902,"Estonian","Estonia",12
"4011","eestipost",1952,"Estonian","Germany",12
"4012","eestisona",1945,"Estonian","Germany",12
"4013","eestispordileht",1933,"Estonian","Estonia",12
"4014","eestispordileht",1934,"Estonian","Estonia",12
"4015","eestispordileht",1935,"Estonian","Estonia",12
"4016","eestispordileht",1936,"Estonian","Estonia",12
"4017","eestispordileht",1937,"Estonian","Estonia",12
"4018","eestispordileht",1938,"Estonian","Estonia",12
"4019","eestispordileht",1939,"Estonian","Estonia",12
"4020","epmmissionileht",1899,"Estonian","Estonia",12
"4021","epmmissionileht",1900,"Estonian","Estonia",12
"4022","epmmissionileht",1901,"Estonian","Estonia",12
"4023","epmmissionileht",1902,"Estonian","Estonia",12
"4024","haaberstipost",2020,"Estonian","Estonia",12
"4025","haaberstipostvene",2020,"Russian","Estonia",12
"4026","haanimaauma",2016,"Estonian","Estonia",12
"4027","haljalavalla",2019,"Estonian","Estonia",12
"4028","haljalavalla",2021,"Estonian","Estonia",12
"4029","harkuvalla",2016,"Estonian","Estonia",12
"4030","hiiumaateataja",2019,"Estonian","Estonia",12
"4031","hiiuvalla",2014,"Estonian","Estonia",12
"4032","hiiuvalla",2015,"Estonian","Estonia",12
"4033","jarvavalla",2018,"Estonian","Estonia",12
"4034","joelahtme",2010,"Estonian","Estonia",12
"4035","joelahtme",2011,"Estonian","Estonia",12
"4036","joelahtme",2012,"Estonian","Estonia",12
"4037","joelahtme",2013,"Estonian","Estonia",12
"4038","joelahtme",2014,"Estonian","Estonia",12
"4039","joelahtme",2017,"Estonian","Estonia",12
"4040","joelahtme",2018,"Estonian","Estonia",12
"4041","joelahtme",2019,"Estonian","Estonia",12
"4042","joelahtme",2020,"Estonian","Estonia",12
"4043","joelahtme",2021,"Estonian","Estonia",12
"4044","johannese",2010,"Estonian","Estonia",12
"4045","johannese",2011,"Estonian","Estonia",12
"4046","johannese",2013,"Estonian","Estonia",12
"4047","johannese",2016,"Estonian","Estonia",12
"4048","junnumaa",2005,"Estonian","Estonia",12
"4049","junnumaa",2006,"Estonian","Estonia",12
"4050","junnumaa",2007,"Estonian","Estonia",12
"4051","junnumaa",2008,"Estonian","Estonia",12
"4052","junnumaa",2011,"Estonian","Estonia",12
"4053","jutumeessakalali",1909,"Estonian","Estonia",12
"4054","JVtaustapaber",2020,"Estonian","Estonia",12
"4055","JVworkingpaper",2017,"English","Estonia",12
"4056","kajanaljajapilkeli",1910,"Estonian","Estonia",12
"4057","kaldad",2014,"Estonian","Estonia",12
"4058","kaldad",2015,"Estonian","Estonia",12
"4059","kanepiteataja",2017,"Estonian","Estonia",12
"4060","kanepiteataja",2018,"Estonian","Estonia",12
"4061","kanepiteataja",2019,"Estonian","Estonia",12
"4062","kanepiteataja",2020,"Estonian","Estonia",12
"4063","kanepiteataja",2021,"Estonian","Estonia",12
"4064","kasitoole",1907,"Estonian","Estonia",12
"4065","kasitoole",1908,"Estonian","Estonia",12
"4066","kasitoole",1909,"Estonian","Estonia",12
"4067","kasitoole",1910,"Estonian","Estonia",12
"4068","kasitoole",1911,"Estonian","Estonia",12
"4069","kasitoole",1912,"Estonian","Estonia",12
"4070","kasitoole",1913,"Estonian","Estonia",12
"4071","kasitoole",1914,"Estonian","Estonia",12
"4072","kasitoole",1917,"Estonian","Estonia",12
"4073","kasitoole",1926,"Estonian","Estonia",12
"4074","kastrevalla",2020,"Estonian","Estonia",12
"4075","kastrevalla",2021,"Estonian","Estonia",12
"4076","keilaleht",2007,"Estonian","Estonia",12
"4077","keilavalla",2016,"Estonian","Estonia",12
"4078","keilavalla",2017,"Estonian","Estonia",12
"4079","kesklinnasonumid",2019,"Estonian","Estonia",12
"4080","kesklinnasonumid",2021,"Estonian","Estonia",12
"4081","kesklinnasonumidrus",2019,"Russian","Estonia",12
"4082","kesklinnasonumidrus",2021,"Russian","Estonia",12
"4083","kihnuleht",2010,"Estonian","Estonia",12
"4084","kihnuleht",2015,"Estonian","Estonia",12
"4085","kihnuleht",2016,"Estonian","Estonia",12
"4086","kiilileht",2006,"Estonian","Estonia",12
"4087","kiilileht",2007,"Estonian","Estonia",12
"4088","kiir",1907,"Estonian","Russia",12
"4089","kodukaja",2008,"Estonian","Estonia",12
"4090","kodukoitli",1913,"Estonian","Estonia",12
"4091","kodusedhaaled",2014,"Estonian","Estonia",12
"4092","kodusedhaaled",2021,"Estonian","Estonia",12
"4093","koduuudised",2005,"Estonian","Estonia",12
"4094","koduuudised",2006,"Estonian","Estonia",12
"4095","koduuudised",2007,"Estonian","Estonia",12
"4096","koduuudised",2009,"Estonian","Estonia",12
"4097","koduuudised",2011,"Estonian","Estonia",12
"4098","koduuudised",2012,"Estonian","Estonia",12
"4099","koduuudised",2013,"Estonian","Estonia",12
"4100","koduuudised",2014,"Estonian","Estonia",12
"4101","koduuudised",2015,"Estonian","Estonia",12
"4102","koduuudised",2017,"Estonian","Estonia",12
"4103","koduuudised",2018,"Estonian","Estonia",12
"4104","koduuudised",2019,"Estonian","Estonia",12
"4105","koduuudised",2020,"Estonian","Estonia",12
"4106","koduuudised",2021,"Estonian","Estonia",12
"4107","koduuudisedtapa",1930,"Estonian","Estonia",12
"4108","koduvaldsaue",2014,"Estonian","Estonia",12
"4109","koduvaldsaue",2015,"Estonian","Estonia",12
